sample	fraction	asv	asv_depth	total_asv_depth	relative_abundance	relative_abundance_pct	NM	mapping_category	abundance_bin
AD1_ont	0.111	final_consensus_78_depth_224	224	125002	0.0017919713284587446	0.17919713284587446	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_79_depth_219	219	125002	0.0017519719684485047	0.1751971968448505	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_80_depth_214	214	125002	0.001711972608438265	0.1711972608438265	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_81_depth_208	208	125002	0.0016639733764259772	0.16639733764259773	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_82_depth_207	207	125002	0.0016559735044239293	0.16559735044239293	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_83_depth_206	206	125002	0.0016479736324218812	0.16479736324218813	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_84_depth_205	205	125002	0.0016399737604198333	0.16399737604198333	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_85_depth_205	205	125002	0.0016399737604198333	0.16399737604198333	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_86_depth_200	200	125002	0.0015999744004095934	0.15999744004095934	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_87_depth_198	198	125002	0.0015839746564054976	0.15839746564054974	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_88_depth_196	196	125002	0.0015679749124014016	0.15679749124014017	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_89_depth_193	193	125002	0.0015439752963952577	0.15439752963952577	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_90_depth_193	193	125002	0.0015439752963952577	0.15439752963952577	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_91_depth_193	193	125002	0.0015439752963952577	0.15439752963952577	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_92_depth_191	191	125002	0.0015279755523911617	0.15279755523911617	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_93_depth_189	189	125002	0.0015119758083870659	0.15119758083870657	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_94_depth_185	185	125002	0.0014799763203788739	0.1479976320378874	0	NM_0	0.1-<1%
AD1_ont	0.111	final_consensus_95_depth_184	184	125002	0.001471976448376826	0.1471976448376826	0	NM_0	0.1-<1%
